,word,rank,country,theme
14,allegedly,68.0,All countries,crime and violence
391,white,69.0,All countries,"race, ethnicity and identity"
276,queen,70.0,All countries,empowerment
161,hair,71.0,All countries,female stereotypes
333,stab,72.0,All countries,crime and violence
59,celebrate,73.0,All countries,No theme
27,award,74.0,All countries,empowerment
91,date,75.0,All countries,No theme
388,wedding,76.0,All countries,female stereotypes
329,south,77.0,All countries,people and places
152,gender,78.0,All countries,"race, ethnicity and identity"
343,study,79.0,All countries,No theme
50,brother,80.0,All countries,No theme
225,marry,81.0,All countries,female stereotypes
114,driver,82.0,All countries,No theme
112,dress,83.0,All countries,female stereotypes
244,officer,84.0,All countries,empowerment
171,history,85.0,All countries,No theme
33,bear,86.0,All countries,No theme
167,heart,87.0,All countries,No theme
251,parent,88.0,All countries,empowerment
262,power,89.0,All countries,empowerment
267,president,90.0,All countries,No theme
219,male,91.0,All countries,No theme
349,support,92.0,All countries,female stereotypes
253,party,93.0,All countries,No theme
381,violence,94.0,All countries,crime and violence
32,battle,95.0,All countries,crime and violence
78,coronavirus,96.0,All countries,No theme
116,drug,97.0,All countries,crime and violence
204,launch,98.0,All countries,empowerment
88,dad,99.0,All countries,No theme
29,bad,100.0,All countries,No theme
6,actress,101.0,All countries,female stereotypes
81,crash,102.0,All countries,crime and violence
337,steal,103.0,All countries,crime and violence
166,health,104.0,All countries,No theme
56,cancer,105.0,All countries,No theme
384,walk,106.0,All countries,No theme
308,secret,107.0,All countries,No theme
291,rescue,108.0,All countries,No theme
377,twitter,109.0,All countries,people and places
297,rise,110.0,All countries,empowerment
238,music,111.0,All countries,No theme
348,suicide,112.0,All countries,crime and violence
54,business,113.0,All countries,empowerment
10,age,114.0,All countries,No theme
326,slam,115.0,All countries,crime and violence
290,release,116.0,All countries,No theme
53,burn,117.0,All countries,crime and violence
353,suspect,118.0,All countries,crime and violence
346,sue,119.0,All countries,No theme
390,west,120.0,All countries,people and places
134,fashion,121.0,All countries,No theme
288,record,122.0,All countries,No theme
224,marriage,123.0,All countries,female stereotypes
273,protest,124.0,All countries,empowerment
99,deny,125.0,All countries,No theme
111,dream,126.0,All countries,empowerment
235,money,127.0,All countries,No theme
13,allege,128.0,All countries,crime and violence
324,single,129.0,All countries,female stereotypes
156,great,130.0,All countries,empowerment
136,fear,131.0,All countries,female stereotypes
127,explain,132.0,All countries,No theme
335,stand,133.0,All countries,No theme
368,transgender,134.0,All countries,"race, ethnicity and identity"
3,act,135.0,All countries,No theme
174,hope,136.0,All countries,No theme
58,career,137.0,All countries,empowerment
270,prison,138.0,All countries,crime and violence
194,judge,139.0,All countries,crime and violence
201,killer,140.0,All countries,crime and violence
196,kardashian,141.0,All countries,people and places
87,cut,142.0,All countries,No theme
281,raise,143.0,All countries,No theme
7,admit,144.0,All countries,No theme
332,sport,145.0,All countries,No theme
208,leader,146.0,All countries,empowerment
301,rule,147.0,All countries,No theme
236,movie,148.0,All countries,No theme
357,teacher,149.0,All countries,empowerment
57,care,150.0,All countries,female stereotypes
309,sentence,151.0,All countries,crime and violence
36,beauty,152.0,All countries,female stereotypes
55,campaign,153.0,All countries,empowerment
306,search,154.0,All countries,No theme
31,ban,155.0,All countries,No theme
396,worker,156.0,All countries,empowerment
385,war,157.0,All countries,crime and violence
233,model,158.0,All countries,No theme
257,pic,159.0,All countries,No theme
103,director,160.0,All countries,empowerment
186,inspire,161.0,All countries,empowerment
22,artist,162.0,All countries,empowerment
153,girlfriend,163.0,All countries,female stereotypes
45,boss,164.0,All countries,empowerment
89,dance,165.0,All countries,No theme
328,song,166.0,All countries,No theme
398,write,167.0,All countries,No theme
16,american,168.0,All countries,people and places
246,online,169.0,All countries,No theme
195,justice,170.0,All countries,crime and violence
130,fake,171.0,All countries,No theme
96,defend,172.0,All countries,crime and violence
119,elderly,173.0,All countries,No theme
314,sexually,174.0,All countries,female stereotypes
151,gang,175.0,All countries,crime and violence
86,cup,176.0,All countries,No theme
159,gun,177.0,All countries,crime and violence
341,struggle,178.0,All countries,No theme
210,learn,179.0,All countries,No theme
323,singer,180.0,All countries,empowerment
382,voice,181.0,All countries,empowerment
157,grow,182.0,All countries,No theme
129,fail,183.0,All countries,No theme
37,believe,184.0,All countries,No theme
394,wonder,185.0,All countries,No theme
199,kidnap,186.0,All countries,crime and violence
289,relationship,187.0,All countries,female stereotypes
128,facebook,188.0,All countries,people and places
12,alive,189.0,All countries,No theme
277,question,190.0,All countries,No theme
144,food,191.0,All countries,No theme
26,attempt,192.0,All countries,No theme
95,debut,193.0,All countries,No theme
247,order,194.0,All countries,No theme
187,instagram,195.0,All countries,people and places
184,injure,196.0,All countries,crime and violence
82,crime,197.0,All countries,crime and violence
61,challenge,198.0,All countries,No theme
242,north,199.0,All countries,No theme
189,interview,200.0,All countries,No theme
73,comment,201.0,All countries,No theme
21,art,202.0,All countries,No theme
350,surgery,203.0,All countries,No theme
351,survive,204.0,All countries,empowerment
268,prince,205.0,All countries,No theme
35,beautiful,206.0,All countries,female stereotypes
362,threaten,207.0,All countries,crime and violence
347,suffer,208.0,All countries,crime and violence
84,cry,209.0,All countries,female stereotypes
239,muslim,210.0,All countries,"race, ethnicity and identity"
60,ceo,211.0,All countries,empowerment
74,company,212.0,All countries,No theme
163,harassment,213.0,All countries,crime and violence
211,lie,214.0,All countries,female stereotypes
376,twin,215.0,All countries,No theme
175,horror,216.0,All countries,crime and violence
158,guilty,217.0,All countries,crime and violence
214,london,218.0,All countries,people and places
72,coach,219.0,All countries,empowerment
298,risk,220.0,All countries,crime and violence
383,vote,221.0,All countries,No theme
15,allow,222.0,All countries,No theme
245,olympic,223.0,All countries,empowerment
286,reason,224.0,All countries,No theme
360,teenage,225.0,All countries,No theme
164,hate,226.0,All countries,crime and violence
190,issue,227.0,All countries,No theme
355,taylor,228.0,All countries,people and places
371,trial,229.0,All countries,crime and violence
113,drink,230.0,All countries,No theme
228,mean,231.0,All countries,No theme
302,safe,232.0,All countries,No theme
265,pregnancy,233.0,All countries,female stereotypes
331,special,234.0,All countries,No theme
248,oscar,235.0,All countries,empowerment
375,tweet,236.0,All countries,No theme
389,weight,237.0,All countries,female stereotypes
150,future,238.0,All countries,No theme
216,loss,239.0,All countries,No theme
105,divorce,240.0,All countries,female stereotypes
65,chief,241.0,All countries,empowerment
399,wrong,242.0,All countries,No theme
229,member,243.0,All countries,No theme
303,saudi,244.0,All countries,"race, ethnicity and identity"
269,princess,245.0,All countries,female stereotypes
223,mark,246.0,All countries,people and places
263,powerful,247.0,All countries,empowerment
259,player,248.0,All countries,No theme
192,jenner,249.0,All countries,people and places
177,hot,250.0,All countries,No theme
1,accident,251.0,All countries,crime and violence
275,prove,252.0,All countries,No theme
48,breast,253.0,All countries,female stereotypes
126,experience,254.0,All countries,No theme
340,strong,255.0,All countries,empowerment
120,emotional,256.0,All countries,female stereotypes
38,beyonce,257.0,All countries,people and places
41,blame,258.0,All countries,No theme
283,rare,259.0,All countries,No theme
98,demand,260.0,All countries,No theme
5,activist,261.0,All countries,empowerment
339,strike,262.0,All countries,No theme
124,escape,263.0,All countries,crime and violence
299,room,264.0,All countries,No theme
252,partner,265.0,All countries,No theme
154,gold,266.0,All countries,No theme
206,lawyer,267.0,All countries,empowerment
296,ring,268.0,All countries,No theme
311,service,269.0,All countries,No theme
278,quit,270.0,All countries,No theme
162,hang,271.0,All countries,crime and violence
358,tear,272.0,All countries,crime and violence
279,race,273.0,All countries,"race, ethnicity and identity"
344,style,274.0,All countries,No theme
334,stage,275.0,All countries,No theme
169,hero,276.0,All countries,empowerment
51,build,277.0,All countries,No theme
272,protect,278.0,All countries,No theme
178,hotel,279.0,All countries,No theme
386,warn,280.0,All countries,No theme
107,domestic,281.0,All countries,female stereotypes
317,shock,282.0,All countries,No theme
284,ready,283.0,All countries,No theme
145,football,284.0,All countries,No theme
19,anti,285.0,All countries,No theme
222,march,286.0,All countries,empowerment
202,kiss,287.0,All countries,female stereotypes
354,target,288.0,All countries,No theme
179,human,289.0,All countries,No theme
79,couple,290.0,All countries,No theme
70,church,291.0,All countries,"race, ethnicity and identity"
240,mystery,292.0,All countries,No theme
110,drag,293.0,All countries,No theme
369,treat,294.0,All countries,No theme
67,china,295.0,All countries,people and places
256,person,296.0,All countries,No theme
300,royal,297.0,All countries,No theme
64,cheat,298.0,All countries,female stereotypes
366,toddler,299.0,All countries,female stereotypes
183,include,300.0,All countries,No theme
203,later,301.0,All countries,No theme
30,bag,302.0,All countries,No theme
356,teach,303.0,All countries,No theme
76,convict,304.0,All countries,crime and violence
370,treatment,305.0,All countries,No theme
52,bully,306.0,All countries,crime and violence
4,action,307.0,All countries,No theme
280,racist,308.0,All countries,crime and violence
121,empower,309.0,All countries,empowerment
125,event,310.0,All countries,No theme
255,perfect,311.0,All countries,empowerment
209,league,312.0,All countries,No theme
287,recall,313.0,All countries,No theme
321,silence,314.0,All countries,No theme
243,nurse,315.0,All countries,female stereotypes
8,advice,316.0,All countries,No theme
367,track,317.0,All countries,No theme
18,answer,318.0,All countries,No theme
250,pain,319.0,All countries,No theme
43,board,320.0,All countries,No theme
188,internet,321.0,All countries,No theme
182,image,322.0,All countries,No theme
258,pilot,323.0,All countries,empowerment
9,affair,324.0,All countries,female stereotypes
330,space,325.0,All countries,No theme
315,sexy,326.0,All countries,female stereotypes
212,light,327.0,All countries,No theme
241,newborn,328.0,All countries,female stereotypes
373,true,329.0,All countries,No theme
352,survivor,330.0,All countries,empowerment
316,shame,331.0,All countries,female stereotypes
68,chinese,332.0,All countries,"race, ethnicity and identity"
11,ahead,333.0,All countries,No theme
293,reunite,334.0,All countries,No theme
117,drunk,335.0,All countries,No theme
155,golden,336.0,All countries,No theme
226,mask,337.0,All countries,No theme
264,praise,338.0,All countries,No theme
24,athlete,339.0,All countries,empowerment
115,drown,340.0,All countries,crime and violence
149,funeral,341.0,All countries,crime and violence
109,double,342.0,All countries,No theme
365,title,343.0,All countries,empowerment
345,success,344.0,All countries,empowerment
254,past,345.0,All countries,No theme
197,key,346.0,All countries,No theme
295,rich,347.0,All countries,No theme
104,discover,348.0,All countries,No theme
378,vaccine,349.0,All countries,No theme
271,promise,350.0,All countries,No theme
69,choose,351.0,All countries,No theme
319,shop,352.0,All countries,female stereotypes
325,skin,353.0,All countries,female stereotypes
249,owner,354.0,All countries,empowerment
83,crush,355.0,All countries,No theme
118,earn,356.0,All countries,No theme
160,guy,357.0,All countries,No theme
147,forget,358.0,All countries,No theme
372,trip,359.0,All countries,No theme
230,mental,360.0,All countries,No theme
310,serve,361.0,All countries,No theme
185,injury,362.0,All countries,crime and violence
322,sing,363.0,All countries,No theme
148,fund,364.0,All countries,No theme
170,hire,365.0,All countries,No theme
49,bride,366.0,All countries,female stereotypes
42,blue,367.0,All countries,No theme
380,view,368.0,All countries,No theme
75,control,369.0,All countries,No theme
361,threat,370.0,All countries,crime and violence
97,deliver,371.0,All countries,No theme
137,feature,372.0,All countries,No theme
260,point,373.0,All countries,No theme
90,dark,374.0,All countries,No theme
138,feed,375.0,All countries,No theme
274,proud,376.0,All countries,No theme
338,store,377.0,All countries,No theme
180,hurt,378.0,All countries,crime and violence
397,worth,379.0,All countries,empowerment
327,soldier,380.0,All countries,No theme
218,major,381.0,All countries,No theme
17,angry,382.0,All countries,No theme
363,tie,383.0,All countries,No theme
123,equality,384.0,All countries,empowerment
62,champion,385.0,All countries,empowerment
122,equal,386.0,All countries,empowerment
108,door,387.0,All countries,No theme
101,designer,388.0,All countries,empowerment
141,fighter,389.0,All countries,empowerment
232,minute,390.0,All countries,No theme
307,seat,391.0,All countries,No theme
227,matter,392.0,All countries,No theme
292,response,393.0,All countries,No theme
285,reality,394.0,All countries,No theme
85,culture,395.0,All countries,No theme
320,shut,396.0,All countries,No theme
231,mind,397.0,All countries,No theme
100,design,398.0,All countries,No theme
221,manager,399.0,All countries,empowerment
374,truth,400.0,All countries,No theme
133,far,401.0,All countries,No theme
